fake_news_domain,category
shoebat.com,conspiracy
silver-coin-investor. com,conspiracy
silverbearcafe.com,conspiracy
silverdoctors.com,conspiracy
silverstealers.net,conspiracy
sjlendman.blogspot.com,bias
skeptiko.com,conspiracy
smag31.com,fake
socialeverythings.com,fake
sonsoflibertyradio.com,conspiracy
sovereignman.com,unreliable
speld.nl,satire
sportspickle.com,satire
sputniknews.com,bias
stneotscitizen.com,satire
stormcloudsgathering.com,fake
stuppid.com,satire
subjectpolitics.com,fake
success-street.com,fake
supremepatriot.com,fake
surrealscoop.com,satire
tdtalliance.com,fake
teaparty.org,fake
thatviralfeed.net,fake
the-insider.co,fake
theamericanindependent.wordpress.com,fake
theantimedia.org,unreliable
thebeaverton.com,satire
thebigriddle.com,fake
theblaze.com,political
thebostontribune.com,fake
thecommonsenseshow.com,fake
thecontroversialfiles.net,fake
thedailybeast.com,political
thedailymash.co.uk,satire
thedailysheeple.com,conspiracy
thedailywtf.com,satire
theduran.com,unreliable
theeconomiccollapseblog.com,conspiracy
theeventchronicle.com,conspiracy
theextinctionprotocol.com,conspiracy
thefederalistpapers.org,bias
thefifthcolumnnews.com,political
theforbiddenknowledge.com,conspiracy
thefreepatriot.org,fake
thefreethoughtproject.com,unreliable
thegatewaypundit.com,bias
thegoldandoilguy.com,unreliable
thehardtimes.net,satire
theineptowl.com,satire
theinformedamerican.net,unreliable
theintercept.com,political
theinternetpost.net,fake
thelastgreatstand.com,fake
thelastlineofdefense.org,satire
thelibertybeacon.com,conspiracy
thelibertymill.com,unreliable
themadisonmisnomer.com,satire
themideastbeast.com,satire
themindunleashed.com,conspiracy
themindunleashed.org,conspiracy
themoralofthestory.us,fake
themuslimissue.wordpress.com,hate
thenet24h.com,fake
thenewamerican.com,bias
thenewsdoctors.com,bias
thenewsnerd.com,satire
thenewyorkevening.com,fake
theonion.com,satire
thephaser.com,conspiracy
thepoke.co.uk,satire
thepoliticalinsider.com,conspiracy
theracketreport.com,fake
therealstrategy.com,bias
thereporterz.com,fake
therightists.com,satire
therightscoop.com,fake
therightstuff.biz,hate
theseattletribune.com,satire
theshovel.com.au,satire
theskunk.org,satire
thespoof.com,satire
thestatelyharold.com,satire
thetimesoftheworld.com,satire
thetrumpmedia.com,fake
thetruthaboutcancer.com,junksci
thetruthdivision.com,fake
thetruthseeker.co.uk,fake
thetruthwins.com,junksci
theunrealtimes.com,satire
theusa-news.com,fake
theuspatriot.com,satire
thevalleyreport.com,satire
thewashingtonpress.com,fake
thewatchtowers.com,bias
thinkprogress.org,political
threepercenternation.com,fake
times.com.mx,fake
tmzworldnews.com,fake
tomwoods.com,political
topekasnews.com,satire
topinfopost.com,clickbait
trueactivist.com,clickbait
trueamericans.me,fake
truepundit.com,bias
truetrumpers.com,fake
trumpvision365.com,fake
truthandaction.org,bias
truthbroadcastnetwork.com,conspiracy
truthfeed.com,hate
truthfrequencyradio.com,conspiracy
truthkings.com,bias
truthrevolt.org,bias
twitchy.com,clickbait
ufoholic.com,conspiracy
unclesamsmisguidedchildren.com,bias
unconfirmedsources.com,satire
undergroundnewsreport.com,fake
undergroundworldnews.com,fake
unitedmediapublishing.com,fake
universepolitics.com,fake
unz.com,bias
us.blastingnews.com,satire
usa-radio.com,fake
usa-television.com,fake
usa2016elections.com,fake
usadailyinfo.com,fake
usadailypolitics.com,fake
usadailytime.com,fake
usadosenews.com,fake
usafirstinformation.com,fake
usahitman.com,fake
usainfobox.com,fake
usamagazinestudio.com,fake
usanewsflash.com,fake
usanewsinsider.com,fake
usanewspolitics.com,fake
usanewstoday.com,fake
usaonlinepolitics.com,fake
usaphase.com,fake
usapolitics24hrs.com,fake
usapoliticsnow.com,fake
usapoliticstoday.com,bias
usapoliticszone.com,fake
usasnich.com,fake
usasupreme.com,fake
usatoday.com.co,fake
usatodaynews.me,fake
usatwentyfour.com,fake
usawatchdog.com,bias
uschronicle.com,bias
usconservativetoday.com,fake
usdefensewatch.com,unreliable
usfanzone.com,fake
ushealthyadvisor.com,fake
ushealthylife.com,fake
usherald.com,bias
usinfonews.com,fake
uslifetoday.com,clickbait
uspoliticslive.com,fake
uspoln.com,fake
uspostman.com,fake
usuncut.com,clickbait
usviewer.com,unreliable
vdare.com,bias
veteransnewsnow.com,unreliable
veteranstoday.com,bias
vigilantcitizen.com,fake
viralactions.com,fake
viralliberty.com,fake
viraltube.nl,clickbait
voxtribune.com,fake
wakeupthesheep.com,conspiracy
wakingtimes.com,junksci
wakingupwisconsin.com,conspiracy
wallstreetonparade.com,unreliable
washingtonexaminer.com,political
washingtonfed.com,fake
washingtonpost.com.co,fake
washingtonsblog.com,bias
waterfordwhispersnews.com,satire
wearechange.org,bias
